자치구,계약일자,단위면적(㎡)당 매매가(만원)
강남구,2017-01,1387
강남구,2017-02,1444
강남구,2017-03,1395
강남구,2017-04,1434
강남구,2017-05,1466
강남구,2017-06,1401
강남구,2017-07,1483
강남구,2017-08,1405
강남구,2017-09,1459
강남구,2017-10,1487
강남구,2017-11,1552
강남구,2017-12,1579
강남구,2018-01,1601
강남구,2018-02,1564
강남구,2018-03,1684
강남구,2018-04,1638
강남구,2018-05,1631
강남구,2018-06,1604
강남구,2018-07,1823
강남구,2018-08,1864
강남구,2018-09,1804
강남구,2018-10,1713
강남구,2018-11,1674
강남구,2018-12,1476
강남구,2019-01,1747
강남구,2019-02,1729
강남구,2019-03,1771
강남구,2019-04,1967
강남구,2019-05,2024
강남구,2019-06,2014
강남구,2019-07,2024
강남구,2019-08,2141
강남구,2019-09,2168
강남구,2019-10,2082
강남구,2019-11,2092
강남구,2019-12,2090
강남구,2020-01,1849
강남구,2020-02,2118
강남구,2020-03,1996
강남구,2020-04,2033
강남구,2020-05,1965
강남구,2020-06,2125
강남구,2020-07,2002
강남구,2020-08,2170
강남구,2020-09,2173
강남구,2020-10,2129
강남구,2020-11,2257
강남구,2020-12,2278
강남구,2021-01,2271
강남구,2021-02,2380
강남구,2021-03,2130
강남구,2021-04,2283
강남구,2021-05,2183
강남구,2021-06,2398
강남구,2021-07,2587
강남구,2021-08,2382
강남구,2021-09,2440
강남구,2021-10,2575
강남구,2021-11,2294
강남구,2021-12,2499
강동구,2017-01,732
강동구,2017-02,701
강동구,2017-03,698
강동구,2017-04,756
강동구,2017-05,715
강동구,2017-06,714
강동구,2017-07,768
강동구,2017-08,744
강동구,2017-09,770
강동구,2017-10,769
강동구,2017-11,816
강동구,2017-12,813
강동구,2018-01,830
강동구,2018-02,814
강동구,2018-03,826
강동구,2018-04,874
강동구,2018-05,819
강동구,2018-06,814
강동구,2018-07,867
강동구,2018-08,911
강동구,2018-09,915
강동구,2018-10,874
강동구,2018-11,874
강동구,2018-12,816
강동구,2019-01,984
강동구,2019-02,939
강동구,2019-03,869
강동구,2019-04,931
강동구,2019-05,976
강동구,2019-06,1003
강동구,2019-07,990
강동구,2019-08,1036
강동구,2019-09,1028
강동구,2019-10,1002
강동구,2019-11,1046
강동구,2019-12,1018
강동구,2020-01,1010
강동구,2020-02,999
강동구,2020-03,1005
강동구,2020-04,982
강동구,2020-05,1037
강동구,2020-06,1164
강동구,2020-07,1195
강동구,2020-08,1241
강동구,2020-09,1256
강동구,2020-10,1251
강동구,2020-11,1354
강동구,2020-12,1419
강동구,2021-01,1469
강동구,2021-02,1387
강동구,2021-03,1309
강동구,2021-04,1321
강동구,2021-05,1460
강동구,2021-06,1452
강동구,2021-07,1497
강동구,2021-08,1548
강동구,2021-09,1554
강동구,2021-10,1434
강동구,2021-11,1299
강동구,2021-12,1442
강북구,2017-01,479
강북구,2017-02,497
강북구,2017-03,478
강북구,2017-04,504
강북구,2017-05,482
강북구,2017-06,528
강북구,2017-07,521
강북구,2017-08,508
강북구,2017-09,533
강북구,2017-10,542
강북구,2017-11,526
강북구,2017-12,587
강북구,2018-01,540
강북구,2018-02,552
강북구,2018-03,550
강북구,2018-04,555
강북구,2018-05,549
강북구,2018-06,568
강북구,2018-07,562
강북구,2018-08,571
강북구,2018-09,581
강북구,2018-10,597
강북구,2018-11,618
강북구,2018-12,581
강북구,2019-01,561
강북구,2019-02,630
강북구,2019-03,577
강북구,2019-04,597
강북구,2019-05,608
강북구,2019-06,596
강북구,2019-07,614
강북구,2019-08,638
강북구,2019-09,720
강북구,2019-10,728
강북구,2019-11,718
강북구,2019-12,679
강북구,2020-01,696
강북구,2020-02,675
강북구,2020-03,692
강북구,2020-04,654
강북구,2020-05,712
강북구,2020-06,793
강북구,2020-07,796
강북구,2020-08,825
강북구,2020-09,854
강북구,2020-10,889
강북구,2020-11,885
강북구,2020-12,938
강북구,2021-01,924
강북구,2021-02,871
강북구,2021-03,958
강북구,2021-04,907
강북구,2021-05,964
강북구,2021-06,952
강북구,2021-07,981
강북구,2021-08,967
강북구,2021-09,918
강북구,2021-10,1069
강북구,2021-11,870
강북구,2021-12,774
강서구,2017-01,579
강서구,2017-02,601
강서구,2017-03,609
강서구,2017-04,617
강서구,2017-05,650
강서구,2017-06,646
강서구,2017-07,662
강서구,2017-08,635
강서구,2017-09,674
강서구,2017-10,696
강서구,2017-11,711
강서구,2017-12,706
강서구,2018-01,711
강서구,2018-02,717
강서구,2018-03,686
강서구,2018-04,692
강서구,2018-05,710
강서구,2018-06,715
강서구,2018-07,747
강서구,2018-08,766
강서구,2018-09,789
강서구,2018-10,755
강서구,2018-11,730
강서구,2018-12,685
강서구,2019-01,742
강서구,2019-02,748
강서구,2019-03,740
강서구,2019-04,745
강서구,2019-05,790
강서구,2019-06,814
강서구,2019-07,879
강서구,2019-08,831
강서구,2019-09,820
강서구,2019-10,883
강서구,2019-11,904
강서구,2019-12,894
강서구,2020-01,857
강서구,2020-02,901
강서구,2020-03,862
강서구,2020-04,793
강서구,2020-05,907
강서구,2020-06,953
강서구,2020-07,979
강서구,2020-08,1018
강서구,2020-09,1033
강서구,2020-10,1027
강서구,2020-11,1036
강서구,2020-12,1091
강서구,2021-01,1165
강서구,2021-02,1064
강서구,2021-03,1052
강서구,2021-04,1130
강서구,2021-05,1173
강서구,2021-06,1238
강서구,2021-07,1245
강서구,2021-08,1253
강서구,2021-09,1235
강서구,2021-10,1228
강서구,2021-11,1054
강서구,2021-12,1114
관악구,2017-01,630
관악구,2017-02,558
관악구,2017-03,532
관악구,2017-04,533
관악구,2017-05,552
관악구,2017-06,548
관악구,2017-07,582
관악구,2017-08,583
관악구,2017-09,600
관악구,2017-10,591
관악구,2017-11,589
관악구,2017-12,612
관악구,2018-01,622
관악구,2018-02,616
관악구,2018-03,632
관악구,2018-04,616
관악구,2018-05,627
관악구,2018-06,651
관악구,2018-07,636
관악구,2018-08,642
관악구,2018-09,685
관악구,2018-10,718
관악구,2018-11,716
관악구,2018-12,715
관악구,2019-01,672
관악구,2019-02,705
관악구,2019-03,691
관악구,2019-04,693
관악구,2019-05,683
관악구,2019-06,757
관악구,2019-07,772
관악구,2019-08,771
관악구,2019-09,749
관악구,2019-10,788
관악구,2019-11,783
관악구,2019-12,787
관악구,2020-01,799
관악구,2020-02,804
관악구,2020-03,796
관악구,2020-04,768
관악구,2020-05,803
관악구,2020-06,875
관악구,2020-07,860
관악구,2020-08,938
관악구,2020-09,931
관악구,2020-10,923
관악구,2020-11,1000
관악구,2020-12,1020
관악구,2021-01,1026
관악구,2021-02,1057
관악구,2021-03,1052
관악구,2021-04,996
관악구,2021-05,1111
관악구,2021-06,1097
관악구,2021-07,1136
관악구,2021-08,1142
관악구,2021-09,1160
관악구,2021-10,1096
관악구,2021-11,1106
관악구,2021-12,1099
광진구,2017-01,695
광진구,2017-02,703
광진구,2017-03,730
광진구,2017-04,777
광진구,2017-05,753
광진구,2017-06,763
광진구,2017-07,807
광진구,2017-08,795
광진구,2017-09,791
광진구,2017-10,845
광진구,2017-11,870
광진구,2017-12,874
광진구,2018-01,874
광진구,2018-02,891
광진구,2018-03,885
광진구,2018-04,872
광진구,2018-05,838
광진구,2018-06,869
광진구,2018-07,953
광진구,2018-08,1037
광진구,2018-09,1065
광진구,2018-10,1006
광진구,2018-11,1018
광진구,2018-12,905
광진구,2019-01,846
광진구,2019-02,951
광진구,2019-03,926
광진구,2019-04,997
광진구,2019-05,1029
광진구,2019-06,1066
광진구,2019-07,1102
광진구,2019-08,1119
광진구,2019-09,1103
광진구,2019-10,1163
광진구,2019-11,1189
광진구,2019-12,1167
광진구,2020-01,1135
광진구,2020-02,1149
광진구,2020-03,1104
광진구,2020-04,1077
광진구,2020-05,1095
광진구,2020-06,1294
광진구,2020-07,1305
광진구,2020-08,1421
광진구,2020-09,1360
광진구,2020-10,1309
광진구,2020-11,1408
광진구,2020-12,1487
광진구,2021-01,1567
광진구,2021-02,1464
광진구,2021-03,1407
광진구,2021-04,1411
광진구,2021-05,1486
광진구,2021-06,1521
광진구,2021-07,1535
광진구,2021-08,1622
광진구,2021-09,1526
광진구,2021-10,1548
광진구,2021-11,1521
광진구,2021-12,1596
구로구,2017-01,518
구로구,2017-02,519
구로구,2017-03,525
구로구,2017-04,518
구로구,2017-05,544
구로구,2017-06,542
구로구,2017-07,555
구로구,2017-08,538
구로구,2017-09,547
구로구,2017-10,563
구로구,2017-11,560
구로구,2017-12,586
구로구,2018-01,590
구로구,2018-02,592
구로구,2018-03,575
구로구,2018-04,572
구로구,2018-05,584
구로구,2018-06,599
구로구,2018-07,624
구로구,2018-08,605
구로구,2018-09,593
구로구,2018-10,594
구로구,2018-11,623
구로구,2018-12,600
구로구,2019-01,600
구로구,2019-02,572
구로구,2019-03,588
구로구,2019-04,604
구로구,2019-05,665
구로구,2019-06,656
구로구,2019-07,711
구로구,2019-08,735
구로구,2019-09,709
구로구,2019-10,744
구로구,2019-11,760
구로구,2019-12,735
구로구,2020-01,722
구로구,2020-02,707
구로구,2020-03,689
구로구,2020-04,709
구로구,2020-05,718
구로구,2020-06,797
구로구,2020-07,823
구로구,2020-08,821
구로구,2020-09,834
구로구,2020-10,772
구로구,2020-11,742
구로구,2020-12,884
구로구,2021-01,915
구로구,2021-02,905
구로구,2021-03,930
구로구,2021-04,913
구로구,2021-05,956
구로구,2021-06,832
구로구,2021-07,1021
구로구,2021-08,1031
구로구,2021-09,1029
구로구,2021-10,1003
구로구,2021-11,999
구로구,2021-12,910
금천구,2017-01,470
금천구,2017-02,466
금천구,2017-03,468
금천구,2017-04,477
금천구,2017-05,462
금천구,2017-06,456
금천구,2017-07,465
금천구,2017-08,480
금천구,2017-09,506
금천구,2017-10,460
금천구,2017-11,498
금천구,2017-12,527
금천구,2018-01,498
금천구,2018-02,496
금천구,2018-03,506
금천구,2018-04,532
금천구,2018-05,493
금천구,2018-06,529
금천구,2018-07,523
금천구,2018-08,522
금천구,2018-09,497
금천구,2018-10,528
금천구,2018-11,537
금천구,2018-12,587
금천구,2019-01,550
금천구,2019-02,511
금천구,2019-03,544
금천구,2019-04,522
금천구,2019-05,649
금천구,2019-06,615
금천구,2019-07,615
금천구,2019-08,668
금천구,2019-09,635
금천구,2019-10,627
금천구,2019-11,641
금천구,2019-12,646
금천구,2020-01,663
금천구,2020-02,647
금천구,2020-03,671
금천구,2020-04,621
금천구,2020-05,637
금천구,2020-06,676
금천구,2020-07,757
금천구,2020-08,816
금천구,2020-09,809
금천구,2020-10,729
금천구,2020-11,878
금천구,2020-12,890
금천구,2021-01,894
금천구,2021-02,887
금천구,2021-03,857
금천구,2021-04,872
금천구,2021-05,876
금천구,2021-06,934
금천구,2021-07,947
금천구,2021-08,924
금천구,2021-09,994
금천구,2021-10,1043
금천구,2021-11,886
금천구,2021-12,898
노원구,2017-01,504
노원구,2017-02,510
노원구,2017-03,513
노원구,2017-04,517
노원구,2017-05,532
노원구,2017-06,540
노원구,2017-07,553
노원구,2017-08,548
노원구,2017-09,557
노원구,2017-10,559
노원구,2017-11,573
노원구,2017-12,588
노원구,2018-01,582
노원구,2018-02,589
노원구,2018-03,578
노원구,2018-04,579
노원구,2018-05,568
노원구,2018-06,579
노원구,2018-07,604
노원구,2018-08,607
노원구,2018-09,635
노원구,2018-10,662
노원구,2018-11,643
노원구,2018-12,656
노원구,2019-01,618
노원구,2019-02,650
노원구,2019-03,632
노원구,2019-04,650
노원구,2019-05,676
노원구,2019-06,700
노원구,2019-07,680
노원구,2019-08,691
노원구,2019-09,691
노원구,2019-10,709
노원구,2019-11,740
노원구,2019-12,754
노원구,2020-01,757
노원구,2020-02,755
노원구,2020-03,759
노원구,2020-04,738
노원구,2020-05,776
노원구,2020-06,804
노원구,2020-07,877
노원구,2020-08,899
노원구,2020-09,947
노원구,2020-10,944
노원구,2020-11,1001
노원구,2020-12,1036
노원구,2021-01,1045
노원구,2021-02,1038
노원구,2021-03,1074
노원구,2021-04,1123
노원구,2021-05,1118
노원구,2021-06,1125
노원구,2021-07,1148
노원구,2021-08,1170
노원구,2021-09,1221
노원구,2021-10,1191
노원구,2021-11,1232
노원구,2021-12,1172
도봉구,2017-01,439
도봉구,2017-02,446
도봉구,2017-03,448
도봉구,2017-04,459
도봉구,2017-05,469
도봉구,2017-06,475
도봉구,2017-07,479
도봉구,2017-08,455
도봉구,2017-09,471
도봉구,2017-10,478
도봉구,2017-11,486
도봉구,2017-12,497
도봉구,2018-01,486
도봉구,2018-02,505
도봉구,2018-03,492
도봉구,2018-04,479
도봉구,2018-05,498
도봉구,2018-06,514
도봉구,2018-07,517
도봉구,2018-08,501
도봉구,2018-09,514
도봉구,2018-10,534
도봉구,2018-11,515
도봉구,2018-12,535
도봉구,2019-01,527
도봉구,2019-02,544
도봉구,2019-03,525
도봉구,2019-04,545
도봉구,2019-05,548
도봉구,2019-06,582
도봉구,2019-07,591
도봉구,2019-08,575
도봉구,2019-09,601
도봉구,2019-10,600
도봉구,2019-11,631
도봉구,2019-12,639
도봉구,2020-01,640
도봉구,2020-02,631
도봉구,2020-03,605
도봉구,2020-04,607
도봉구,2020-05,596
도봉구,2020-06,628
도봉구,2020-07,683
도봉구,2020-08,724
도봉구,2020-09,748
도봉구,2020-10,737
도봉구,2020-11,811
도봉구,2020-12,831
도봉구,2021-01,850
도봉구,2021-02,826
도봉구,2021-03,883
도봉구,2021-04,907
도봉구,2021-05,910
도봉구,2021-06,887
도봉구,2021-07,893
도봉구,2021-08,990
도봉구,2021-09,953
도봉구,2021-10,944
도봉구,2021-11,993
도봉구,2021-12,1015
동대문구,2017-01,573
동대문구,2017-02,583
동대문구,2017-03,571
동대문구,2017-04,584
동대문구,2017-05,603
동대문구,2017-06,605
동대문구,2017-07,605
동대문구,2017-08,680
동대문구,2017-09,621
동대문구,2017-10,618
동대문구,2017-11,629
동대문구,2017-12,648
동대문구,2018-01,630
동대문구,2018-02,622
동대문구,2018-03,632
동대문구,2018-04,651
동대문구,2018-05,664
동대문구,2018-06,713
동대문구,2018-07,717
동대문구,2018-08,780
동대문구,2018-09,770
동대문구,2018-10,741
동대문구,2018-11,727
동대문구,2018-12,751
동대문구,2019-01,780
동대문구,2019-02,779
동대문구,2019-03,755
동대문구,2019-04,793
동대문구,2019-05,774
동대문구,2019-06,839
동대문구,2019-07,832
동대문구,2019-08,863
동대문구,2019-09,874
동대문구,2019-10,843
동대문구,2019-11,852
동대문구,2019-12,871
동대문구,2020-01,843
동대문구,2020-02,876
동대문구,2020-03,864
동대문구,2020-04,923
동대문구,2020-05,867
동대문구,2020-06,979
동대문구,2020-07,999
동대문구,2020-08,1086
동대문구,2020-09,1075
동대문구,2020-10,1072
동대문구,2020-11,1181
동대문구,2020-12,1207
동대문구,2021-01,1183
동대문구,2021-02,1157
동대문구,2021-03,1132
동대문구,2021-04,1075
동대문구,2021-05,1046
동대문구,2021-06,1220
동대문구,2021-07,1173
동대문구,2021-08,1236
동대문구,2021-09,1318
동대문구,2021-10,1269
동대문구,2021-11,1202
동대문구,2021-12,1163
동작구,2017-01,698
동작구,2017-02,701
동작구,2017-03,721
동작구,2017-04,725
동작구,2017-05,723
동작구,2017-06,728
동작구,2017-07,752
동작구,2017-08,760
동작구,2017-09,767
동작구,2017-10,784
동작구,2017-11,783
동작구,2017-12,807
동작구,2018-01,817
동작구,2018-02,842
동작구,2018-03,838
동작구,2018-04,830
동작구,2018-05,837
동작구,2018-06,887
동작구,2018-07,907
동작구,2018-08,956
동작구,2018-09,978
동작구,2018-10,950
동작구,2018-11,952
동작구,2018-12,929
동작구,2019-01,891
동작구,2019-02,863
동작구,2019-03,866
동작구,2019-04,984
동작구,2019-05,1009
동작구,2019-06,1042
동작구,2019-07,1079
동작구,2019-08,1060
동작구,2019-09,1046
동작구,2019-10,1097
동작구,2019-11,1110
동작구,2019-12,1093
동작구,2020-01,1065
동작구,2020-02,1113
동작구,2020-03,1091
동작구,2020-04,989
동작구,2020-05,1127
동작구,2020-06,1177
동작구,2020-07,1243
동작구,2020-08,1267
동작구,2020-09,1275
동작구,2020-10,1313
동작구,2020-11,1393
동작구,2020-12,1473
동작구,2021-01,1392
동작구,2021-02,1436
동작구,2021-03,1334
동작구,2021-04,1449
동작구,2021-05,2738
동작구,2021-06,1423
동작구,2021-07,1511
동작구,2021-08,1550
동작구,2021-09,1477
동작구,2021-10,1512
동작구,2021-11,1542
동작구,2021-12,1380
마포구,2017-01,774
마포구,2017-02,777
마포구,2017-03,779
마포구,2017-04,811
마포구,2017-05,832
마포구,2017-06,833
마포구,2017-07,856
마포구,2017-08,840
마포구,2017-09,863
마포구,2017-10,871
마포구,2017-11,877
마포구,2017-12,880
마포구,2018-01,920
마포구,2018-02,929
마포구,2018-03,924
마포구,2018-04,938
마포구,2018-05,960
마포구,2018-06,948
마포구,2018-07,1053
마포구,2018-08,1105
마포구,2018-09,1075
마포구,2018-10,1092
마포구,2018-11,999
마포구,2018-12,798
마포구,2019-01,1108
마포구,2019-02,1142
마포구,2019-03,1138
마포구,2019-04,1106
마포구,2019-05,1153
마포구,2019-06,1208
마포구,2019-07,1220
마포구,2019-08,1221
마포구,2019-09,1194
마포구,2019-10,1241
